,Date_Key,Full_Date,Year,Quarter,Month,Month_Name,Week_Number,Day_of_Week,Day_Number,Is_Weekend,Is_Holiday,Season,Is_Winter,Is_Flu_Season
0,20240101,2024-01-01,2024,Q1,1,January,1,Monday,0,False,True,Winter,True,True
1,20240102,2024-01-02,2024,Q1,1,January,1,Tuesday,1,False,False,Winter,True,True
2,20240103,2024-01-03,2024,Q1,1,January,1,Wednesday,2,False,False,Winter,True,True
3,20240104,2024-01-04,2024,Q1,1,January,1,Thursday,3,False,False,Winter,True,True
4,20240105,2024-01-05,2024,Q1,1,January,1,Friday,4,False,False,Winter,True,True
5,20240106,2024-01-06,2024,Q1,1,January,1,Saturday,5,True,False,Winter,True,True
6,20240107,2024-01-07,2024,Q1,1,January,1,Sunday,6,True,False,Winter,True,True
7,20240108,2024-01-08,2024,Q1,1,January,2,Monday,0,False,False,Winter,True,True
8,20240109,2024-01-09,2024,Q1,1,January,2,Tuesday,1,False,False,Winter,True,True
9,20240110,2024-01-10,2024,Q1,1,January,2,Wednesday,2,False,False,Winter,True,True
10,20240111,2024-01-11,2024,Q1,1,January,2,Thursday,3,False,False,Winter,True,True
11,20240112,2024-01-12,2024,Q1,1,January,2,Friday,4,False,False,Winter,True,True
12,20240113,2024-01-13,2024,Q1,1,January,2,Saturday,5,True,False,Winter,True,True
13,20240114,2024-01-14,2024,Q1,1,January,2,Sunday,6,True,False,Winter,True,True
14,20240115,2024-01-15,2024,Q1,1,January,3,Monday,0,False,False,Winter,True,True
15,20240116,2024-01-16,2024,Q1,1,January,3,Tuesday,1,False,False,Winter,True,True
16,20240117,2024-01-17,2024,Q1,1,January,3,Wednesday,2,False,False,Winter,True,True
17,20240118,2024-01-18,2024,Q1,1,January,3,Thursday,3,False,False,Winter,True,True
18,20240119,2024-01-19,2024,Q1,1,January,3,Friday,4,False,False,Winter,True,True
19,20240120,2024-01-20,2024,Q1,1,January,3,Saturday,5,True,False,Winter,True,True
20,20240121,2024-01-21,2024,Q1,1,January,3,Sunday,6,True,False,Winter,True,True
21,20240122,2024-01-22,2024,Q1,1,January,4,Monday,0,False,False,Winter,True,True
22,20240123,2024-01-23,2024,Q1,1,January,4,Tuesday,1,False,False,Winter,True,True
23,20240124,2024-01-24,2024,Q1,1,January,4,Wednesday,2,False,False,Winter,True,True
24,20240125,2024-01-25,2024,Q1,1,January,4,Thursday,3,False,False,Winter,True,True
25,20240126,2024-01-26,2024,Q1,1,January,4,Friday,4,False,False,Winter,True,True
26,20240127,2024-01-27,2024,Q1,1,January,4,Saturday,5,True,False,Winter,True,True
27,20240128,2024-01-28,2024,Q1,1,January,4,Sunday,6,True,False,Winter,True,True
28,20240129,2024-01-29,2024,Q1,1,January,5,Monday,0,False,False,Winter,True,True
29,20240130,2024-01-30,2024,Q1,1,January,5,Tuesday,1,False,False,Winter,True,True
30,20240131,2024-01-31,2024,Q1,1,January,5,Wednesday,2,False,False,Winter,True,True
31,20240201,2024-02-01,2024,Q1,2,February,5,Thursday,3,False,False,Winter,True,True
32,20240202,2024-02-02,2024,Q1,2,February,5,Friday,4,False,False,Winter,True,True
33,20240203,2024-02-03,2024,Q1,2,February,5,Saturday,5,True,False,Winter,True,True
34,20240204,2024-02-04,2024,Q1,2,February,5,Sunday,6,True,False,Winter,True,True
35,20240205,2024-02-05,2024,Q1,2,February,6,Monday,0,False,False,Winter,True,True
36,20240206,2024-02-06,2024,Q1,2,February,6,Tuesday,1,False,False,Winter,True,True
37,20240207,2024-02-07,2024,Q1,2,February,6,Wednesday,2,False,False,Winter,True,True
38,20240208,2024-02-08,2024,Q1,2,February,6,Thursday,3,False,False,Winter,True,True
39,20240209,2024-02-09,2024,Q1,2,February,6,Friday,4,False,False,Winter,True,True
40,20240210,2024-02-10,2024,Q1,2,February,6,Saturday,5,True,False,Winter,True,True
41,20240211,2024-02-11,2024,Q1,2,February,6,Sunday,6,True,False,Winter,True,True
42,20240212,2024-02-12,2024,Q1,2,February,7,Monday,0,False,False,Winter,True,True
43,20240213,2024-02-13,2024,Q1,2,February,7,Tuesday,1,False,False,Winter,True,True
44,20240214,2024-02-14,2024,Q1,2,February,7,Wednesday,2,False,False,Winter,True,True
45,20240215,2024-02-15,2024,Q1,2,February,7,Thursday,3,False,False,Winter,True,True
46,20240216,2024-02-16,2024,Q1,2,February,7,Friday,4,False,False,Winter,True,True
47,20240217,2024-02-17,2024,Q1,2,February,7,Saturday,5,True,False,Winter,True,True
48,20240218,2024-02-18,2024,Q1,2,February,7,Sunday,6,True,False,Winter,True,True
49,20240219,2024-02-19,2024,Q1,2,February,8,Monday,0,False,False,Winter,True,True
50,20240220,2024-02-20,2024,Q1,2,February,8,Tuesday,1,False,False,Winter,True,True
51,20240221,2024-02-21,2024,Q1,2,February,8,Wednesday,2,False,False,Winter,True,True
52,20240222,2024-02-22,2024,Q1,2,February,8,Thursday,3,False,False,Winter,True,True
53,20240223,2024-02-23,2024,Q1,2,February,8,Friday,4,False,False,Winter,True,True
54,20240224,2024-02-24,2024,Q1,2,February,8,Saturday,5,True,False,Winter,True,True
55,20240225,2024-02-25,2024,Q1,2,February,8,Sunday,6,True,False,Winter,True,True
