,Hospital_ID,Hospital_Name,Archetype,NHS_Trust_Type,Region_ID,City,Beds,ICU_Beds,ED_Bays,Annual_Budget_M,Staff_FTE,Founding_Year,Teaching_Hospital,Trauma_Level,Private,Avg_Daily_Admissions_Base,Satisfaction_Base,Efficiency_Score,Cost_Index,Readmission_Rate_Base,Staffing_Stress,Growth_Trend,Quality_Trend,Special_Profile,Latitude,Longitude,Total_Beds
0,H01,King's College Hospital NHS FT,Large Urban Trauma Center,NHS Foundation Trust,R01,London,850,84,48,420,2800,1952,True,1,False,310,62,0.68,1.35,0.135,MODERATE,0.04,-0.01,HIGH_VOLUME_LOW_SATISFACTION,51.4683,-0.0942,807
1,H02,Nuffield Health Woking Hospital,High-End Private Hospital,Independent / Private,R02,Woking,280,73,18,310,1100,1998,False,3,True,85,91,0.88,1.95,0.048,LOW,0.02,0.005,EXCELLENT_OUTCOMES_HIGH_COST,51.3168,-0.56,336
2,H03,Royal Cornwall Hospital,Rural Community Hospital,NHS Foundation Trust,R03,Truro,145,45,10,58,420,1967,False,4,False,42,74,0.72,0.78,0.162,HIGH,0.01,-0.02,STAFFING_SHORTAGE_CHRONIC,50.2697,-5.053,296
3,H04,University College London Hospitals,Teaching Hospital,NHS Foundation Trust,R01,London,620,21,38,380,2300,1888,True,2,False,210,71,0.74,1.22,0.092,MODERATE,0.025,0.01,IMPROVING_OVER_TIME,51.5246,-0.134,195
4,H05,Alder Hey Children's Hospital,Pediatric-Focused Hospital,NHS Foundation Trust,R02,Liverpool,310,107,24,195,1350,1979,True,2,False,98,84,0.82,1.15,0.072,MODERATE,0.03,0.008,ABNORMAL_ICU_OCCUPANCY,53.4192,-2.8974,816
5,H06,Norfolk & Norwich University Hospital,Elderly-Care-Heavy Regional Hospital,NHS Foundation Trust,R04,Norwich,420,124,22,148,1050,1961,False,3,False,115,69,0.65,0.92,0.188,HIGH,0.035,-0.015,WINTER_PERFORMANCE_COLLAPSE,52.6189,1.2202,904
6,H07,Sandwell General Hospital,Underfunded Public Hospital,NHS Trust,R05,West Bromwich,395,25,26,92,980,1945,False,3,False,168,52,0.55,0.72,0.218,CRITICAL,0.045,-0.025,DETERIORATING_YEAR_OVER_YEAR,52.5145,-2.0196,203
7,H08,Spire Manchester Hospital,High-Efficiency Modern Hospital,Independent / Private,R02,Manchester,480,88,32,285,1680,2009,False,2,True,155,87,0.94,1.18,0.055,LOW,0.05,0.012,LOW_READMISSION_OUTLIER,53.432,-2.21,785
8,H09,Leeds General Infirmary,Large Urban Trauma Center,NHS Foundation Trust,R05,Leeds,590,84,36,268,1920,1971,True,2,False,195,67,0.7,1.08,0.118,MODERATE,0.03,-0.005,VOLATILE_EMERGENCY_ADMISSIONS,53.802,-1.5491,393
9,H10,Harrogate District Hospital,Rural Community Hospital,NHS Trust,R06,Harrogate,178,48,12,72,510,1958,False,4,False,52,77,0.76,0.82,0.144,MODERATE,0.015,0.002,STANDARD,53.987,-1.537,259
10,H11,Bristol Royal Infirmary,Large Urban Trauma Center,NHS Foundation Trust,R03,Bristol,720,63,44,355,2450,1963,True,1,False,258,65,0.72,1.28,0.128,MODERATE,0.035,-0.008,WAIT_TIME_OUTLIER,51.459,-2.597,349
