,Code Blue — Healthcare Analytics · Full Data Dictionary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Table,Column Name,Data Type,Description,UK Context / Sample Values,Notes
1,Dim_Hospital,Hospital_ID,Text,Unique hospital identifier,H01 … H11,Primary key
2,Dim_Hospital,Hospital_Name,Text,Real UK hospital name,King's College Hospital NHS FT,—
3,Dim_Hospital,Archetype,Text,Operational profile for benchmarking,"Large Urban Trauma Center, Rural Community Hospital …",8 archetypes
4,Dim_Hospital,NHS_Trust_Type,Text,NHS organisational classification,NHS Foundation Trust / NHS Trust / Independent / Private,UK-specific
5,Dim_Hospital,Region_ID,Text,Links to Dim_Region,R01 … R06,FK → Dim_Region
6,Dim_Hospital,City,Text,UK city of hospital,"London, Bristol, Leeds …",—
7,Dim_Hospital,Beds,Integer,Total licensed inpatient beds,145 … 850,NHS England average DGH ~400
8,Dim_Hospital,ICU_Beds,Integer,Dedicated ICU / HDU beds,12 … 80,NHS avg ~8 ICU per 100 beds
9,Dim_Hospital,ED_Bays,Integer,Emergency department treatment bays,10 … 48,—
10,Dim_Hospital,Annual_Budget_M,Decimal,Annual operating budget (£ millions),58 … 420,NHS FT range: £60M–£1.5B
11,Dim_Hospital,Staff_FTE,Integer,Total full-time equivalent staff headcount,"420 … 2,800",—
12,Dim_Hospital,Founding_Year,Integer,Year hospital was established,1888 … 2009,—
13,Dim_Hospital,Teaching_Hospital,Boolean,Whether hospital has undergraduate teaching mandate,True / False,—
14,Dim_Hospital,Trauma_Level,Integer,"Major Trauma Centre designation (1 = MTC, 4 = non-trauma)",1 … 4,NHS England MTC network
15,Dim_Hospital,Private,Boolean,Independent / private (not NHS-funded) hospital,True / False,"H02 Nuffield, H08 Spire"
16,Dim_Hospital,Avg_Daily_Admissions_Base,Integer,Baseline daily admissions (2022 reference year),42 … 310,Grows with Growth_Trend
17,Dim_Hospital,Satisfaction_Base,Integer,Baseline Friends & Family Test score (0–100),52 … 91,NHS FFT benchmark ~75
